1900,This year saw the Paris Exposition a World's Fair showcasing technological and cultural achievements.  
1901,This year marked the death of Queen Victoria ending the Victorian Era in Britain.  
1902,This year witnessed the end of the Second Boer War with a British victory in South Africa.  
1903,This year was significant for the first successful flight by the Wright brothers in Kitty Hawk North Carolina.  
1904,This year began with the Russo-Japanese War a conflict between Russia and Japan over territorial disputes.  
1905,This year became Einstein's Annus Mirabilis (Miracle Year). As he published groundbreaking theories including special relativity.  
1906,This year was remembered for the San Francisco earthquake a devastating natural disaster that destroyed much of the city. It ruptured 477 km (296 mi) along the San Andreas Fault.
1907,This year brought the Second Hague Peace Conference focusing on efforts to promote international peace.  
1908,This year was defined by the Bosnian Crisis as Austria-Hungary annexed Bosnia straining European tensions.  
1909,This year marked the North Pole expedition  with Robert Peary and Matthew Henson claiming to reach the North Pole.  
1910,This year stood out as Halley's Comet passed Earth visible for the first time in 76 years.  
1911,This year saw the Chinese Revolution overthrowing the Qing Dynasty and establishing the Republic of China.  
1912,This year became infamous for the sinking of the RMS Titanic a maritime disaster with over 1500 lives lost.  
1913,This year marked the end of the First Balkan War and the beginning of the Second further destabilizing Southeast Europe.  
1914, This year began World War I triggered by the assassination of Archduke Franz Ferdinand of Austria.  
1915,This year was remembered for the Gallipoli Campaign a major Allied operation during World War I that ultimately failed.
1916,World War I is the first global conflict of the 20th century which causes immense destruction and a staggering loss of life.
1917,the Bolshevik Revolution in Russia by Vladimir Lenin that resulted in the establishment of the first communist state.
1918,the 20th century's worst influenza outbreak occurred. The disease that caused this devastating pandemic has also been called the Spanish flu. 
1919,The Treaty of Versailles was the most important of the peace treaties that brought World War I to an end.
1920,The League of Nations was the first intergovernmental organization established “to promote international cooperation and to achieve international peace and security”.
1921,Adolf Hitler becomes the leader of the National Socialist German Workers' Nazi Party.
1922,the Union of Soviet Socialist Republicswas the first self-proclaimed socialist state which aimed to establish communism.
1923,The Weimar government's main crisis occurred when hyperinflation in Germany caused severe economic instability undermining the Weimar Republic.
1924,the first Winter Olympics take off in style at Chamonix in the French Alps.
1925,The Scopes “monkey trial” was the moniker of journalist H. L. Mencken applied to the prosecution of a criminal action brought by the state of Tennessee against high school teacher John T. Scopes for violating the state's Butler Act which prohibited the teaching of evolution in public schools.
1926,the engineer and inventor John Logie Baird gave the world's first demonstration of a working television.
1927,Charles Lindbergh completed the first solo nonstop transatlantic flight in his aircraft. 
1928,A gentleman and passionate photographer named Anatol M Josepho received the first US patent for a fully automatic photographic film-developing machine. 
1929,Vladimir Zworykina Russian-American engineer demonstrated advancements in television technology. Particularly with his work on the cathode-ray picture tube that allowed for the recording and playback of broadcasts
1930,Frank Whittle was a British engineer and inventor credited with the invention of the turbojet engine which revolutionized aerospace propulsion.
1930,The Pluto was discovered in by astronomer Clyde Tombaugh
1931,The Spain becomes a republic with the overthrow of King Alfonso XIII.
1932,The Chaco War was a conflict between Paraguay and Bolivia over control of the Chaco Boreal region.
1933,The 11th President of the Philippines Corazon Aquino was born
1934,The Dust bowl is a major dust storm hit in Midwest caused by the intense drought conditions and poor farming.
1935, The Mussolini invades Ethiopia.
1936, The spanish Civil war started who led by Francisco Franco to overthrew  the spanish democratic republic
1937, The Hindenburg disaster happened that leads  killing the passengers and crew of German Airships
1938, The Snow white and the seven dwarfs movie was released by Disney.
1939, The World Ward II was a global conflict.
1940,The Battle of Britain took place where the germans fought British.
1941,The Konrad Zuse's Z3 became the first computer controlled by software.
1942,The Japanese colonized the Philippines and also considered as Golden age of the Philippine Literature.
1943,The Mark 1 got invented by Howard H. Haiken. This allows them to compute much faster.
1944,The first mobile electric power plant delivered in Philadelphia.
1945,The end of World War II that leaves 75 million deaths
1946,In this year the Philippines gained independence from the United States on July 4.
1947,In this year India and Pakistan gained independence from British rule.
1948,In this year the state of Israel was established.
1949,In this year the North Atlantic Treaty Organization (NATO) was formed as a military alliance among Western countries.
1950,In this year North Korea invaded South Korea prompting UN intervention led by the United States.
1951,In this year the state of war between Japan and the Allied Powers officially ended restoring Japans sovereignty.
1952,In this year Elizabeth II became Queen following the death of her father King George VI.
1953,In this year the Korean War ended. An armistice was signed ending active hostilities without a formal peace treaty.
1954,In this year the First Indochina War ended temporarily dividing Vietnam at the 17th parallel.
1955,In this year the Warsaw Pact was established as a military alliance of communist countries in response to NATO.
1956,In this year the Hungarian Revolution started. A nationwide revolt against Soviet-imposed policies was eventually crushed by the Soviet army.
1957,In this year the Soviet Union launched Sputnik the first artificial satellite marking the start of the space race.
1958,In this year the Nasa founded.
1959,In this year Alaska and Hawaii became US states.
